Date,Infected,Recovered,Susceptible,Ro
01-Mar,2,0,1059998,1.277536469
02-Mar,2,0,1059998,1.278407891
03-Mar,2,0,1059998,1.287444185
04-Mar,2,0,1059998,1.29267949
05-Mar,3,0,1059997,1.305788942
06-Mar,3,0,1059997,1.323606495
07-Mar,3,0,1059997,1.338655626
08-Mar,3,0,1059997,1.350888373
09-Mar,4,0,1059996,1.372563305
10-Mar,5,0,1059995,1.389398915
11-Mar,5,0,1059995,1.411621658
12-Mar,13,0,1059987,1.434220575
13-Mar,19,0,1059981,1.442684561
14-Mar,19,0,1059981,1.46064458
15-Mar,20,0,1059980,1.467546192
16-Mar,22,0,1059978,1.480130167
17-Mar,33,0,1059967,1.482306585
18-Mar,44,0,1059956,1.487036219
19-Mar,60,1,1059939,1.485114541
20-Mar,73,1,1059926,1.478569087
21-Mar,87,1,1059912,1.459412914
22-Mar,112,1,1059887,1.446590709
23-Mar,128,1,1059871,1.441960443
24-Mar,147,1,1059852,1.420820435
25-Mar,175,1,1059824,1.394148786
26-Mar,216,1,1059783,1.372293386
27-Mar,245,3,1059752,1.340743635
28-Mar,308,4,1059688,1.313790021
29-Mar,411,6,1059583,1.282079237
30-Mar,486,9,1059505,1.256671672
31-Mar,522,46,1059432,1.228593209
01-Apr,621,47,1059332,1.201161722
02-Apr,679,51,1059270,1.168940126
03-Apr,777,54,1059169,1.135985516
04-Apr,905,63,1059032,1.111781589
05-Apr,1085,65,1058850,1.0838432
06-Apr,1284,72,1058644,1.057926501
07-Apr,1539,77,1058384,1.031613676
08-Apr,1804,86,1058110,1.005816131
09-Apr,2076,93,1057831,0.989085586
10-Apr,2469,104,1057427,0.973402091
11-Apr,2738,115,1057147,0.95671437
12-Apr,3016,125,1056859,0.934863
13-Apr,3094,234,1056672,0.921478156
14-Apr,3354,242,1056404,0.910540102
15-Apr,3611,292,1056097,0.894914835
16-Apr,3975,320,1055705,0.889439292
17-Apr,4230,355,1055415,0.885978767
18-Apr,4478,391,1055131,0.874714518
19-Apr,4779,429,1054792,0.868271782
20-Apr,5125,462,1054413,0.862364884
21-Apr,5446,528,1054026,0.854745962
22-Apr,5811,545,1053644,0.848386337
23-Apr,6189,586,1053225,0.841524745
24-Apr,6554,636,1052810,0.836769613
25-Apr,6831,664,1052505,0.832933929
26-Apr,7073,697,1052230,0.833215747
27-Apr,7243,730,1052027,0.829750929
28-Apr,7526,771,1051703,0.825821885
29-Apr,7870,798,1051332,0.825114155
30-Apr,8190,827,1050983,0.821757072
01-May,8474,860,1050666,0.815503136
02-May,8593,930,1050477,0.81379944
03-May,8721,984,1050295,0.810798569
04-May,8958,1038,1050004,0.816123757
05-May,9208,1092,1049700,0.812488736
06-May,9507,1138,1049355,0.810637289
07-May,9727,1190,1049083,0.807499287
08-May,9904,1246,1048850,0.806975534
09-May,10135,1302,1048563,0.805386268
10-May,10272,1352,1048376,0.803412924
11-May,10400,1397,1048203,0.80086224
12-May,10575,1441,1047984,0.797048095
13-May,10736,1476,1047788,0.794344292
14-May,10922,1507,1047571,0.793093423
15-May,11121,1536,1047343,0.788871213
16-May,11332,1577,1047091,0.787907148
17-May,11425,1612,1046963,0.785238607
18-May,11506,1670,1046824,0.783402232
19-May,11698,1691,1046611,0.782659961
20-May,11855,1720,1046425,0.783610815
21-May,11989,1756,1046255,0.782210364
22-May,12147,1800,1046053,0.783334359
23-May,12219,1835,1045946,0.783810953
24-May,12283,1856,1045861,0.779586003
25-May,12344,1865,1045791,0.776393254
26-May,12442,1919,1045639,0.777458409
27-May,12548,1945,1045507,0.776990468
28-May,12662,1963,1045375,0.776837964
29-May,12808,1994,1045198,0.773602512
30-May,12883,2023,1045094,0.775045273
31-May,12929,2053,1045018,0.772420613
01-Jun,12994,2086,1044920,0.773161251
02-Jun,13071,2117,1044812,0.775999325
03-Jun,13155,2136,1044709,0.773835065
04-Jun,13246,2162,1044592,0.77727648
05-Jun,13332,2181,1044487,0.773403544
06-Jun,13396,2187,1044417,0.77138443
07-Jun,13441,2191,1044368,0.774968786
08-Jun,13428,2248,1044324,0.780583784
09-Jun,13486,2257,1044257,0.780741486
10-Jun,13578,2268,1044154,0.783736675
11-Jun,13646,2286,1044068,0.781351394
12-Jun,13708,2304,1043988,0.773024967
13-Jun,13754,2306,1043940,0.776951347
14-Jun,13783,2309,1043908,0.773268077
15-Jun,13816,2352,1043832,0.771965694
16-Jun,13857,2364,1043779,0.77301352
17-Jun,13891,2379,1043730,0.77595496
18-Jun,13941,2398,1043661,0.774131514
19-Jun,13985,2413,1043602,0.773457679
20-Jun,14018,2416,1043566,0.773479933
21-Jun,14044,2418,1043538,0.771964784
